"Enumeration Name","Entity Code","Entity Name","Deleted","Import-only","Comments","ADIF Version","ADIF Status"
"DXCC_Entity_Code","154","YEMEN ARAB REPUBLIC","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","155","MALAYA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","157","NAURU","","","","3.1.7","Released"
"DXCC_Entity_Code","158","VANUATU","","","","3.1.7","Released"
"DXCC_Entity_Code","159","MALDIVES","","","","3.1.7","Released"
"DXCC_Entity_Code","160","TONGA","","","","3.1.7","Released"
"DXCC_Entity_Code","161","MALPELO I.","","","","3.1.7","Released"
"DXCC_Entity_Code","162","NEW CALEDONIA","","","","3.1.7","Released"
"DXCC_Entity_Code","163","PAPUA NEW GUINEA","","","","3.1.7","Released"
"DXCC_Entity_Code","164","MANCHURIA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","165","MAURITIUS","","","","3.1.7","Released"
"DXCC_Entity_Code","166","MARIANA IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","167","MARKET REEF","","","","3.1.7","Released"
"DXCC_Entity_Code","168","MARSHALL IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","169","MAYOTTE","","","","3.1.7","Released"
"DXCC_Entity_Code","170","NEW ZEALAND","","","","3.1.7","Released"
"DXCC_Entity_Code","171","MELLISH REEF","","","","3.1.7","Released"
"DXCC_Entity_Code","172","PITCAIRN I.","","","","3.1.7","Released"
"DXCC_Entity_Code","173","MICRONESIA","","","","3.1.7","Released"
"DXCC_Entity_Code","174","MIDWAY I.","","","","3.1.7","Released"
"DXCC_Entity_Code","175","FRENCH POLYNESIA","","","","3.1.7","Released"
"DXCC_Entity_Code","176","FIJI","","","","3.1.7","Released"
"DXCC_Entity_Code","177","MINAMI TORISHIMA","","","","3.1.7","Released"
"DXCC_Entity_Code","178","MINERVA REEF","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","179","MOLDOVA","","","","3.1.7","Released"
"DXCC_Entity_Code","180","MOUNT ATHOS","","","","3.1.7","Released"
"DXCC_Entity_Code","181","MOZAMBIQUE","","","","3.1.7","Released"
"DXCC_Entity_Code","182","NAVASSA I.","","","","3.1.7","Released"
"DXCC_Entity_Code","183","NETHERLANDS BORNEO","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","184","NETHERLANDS NEW GUINEA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","185","SOLOMON IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","186","NEWFOUNDLAND, LABRADOR","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","187","NIGER","","","","3.1.7","Released"
